name,fuel,capacity,owner,cost,average_generation,annual_revenue,annual_operating_expense,annual_profit,payback_period,npv,roi,irr
High Dyke (Mill Farm),1,5,Island Green Power,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Newlands Farm (East Devon),1,5,TGC Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Grove Solar Park (Phase 1),1,5,Solar Century,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Carlton Farm Solar farm,1,5,Mr R Atkins,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Manor Farm - Shripney,1,5,BNRG Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Bake Farm,1,5,Murex Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Chester Energy (East Woolley Farm),1,5,Mr John R Wearmouth Chester Energy (Eastcott) Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cross Roads Plantation,1,5,Good Energy Generation,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
West Ditchen Farm (resubmission),1,5,PV Sunpower Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Winsdon Farm,1,5,Primrose Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Littlewood Lane Solar,1,5,Littlewood Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Liddeston Ridge Solar Park (Milford Haven),1,5,Milford Haven Port Authority,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Canopus Farm,1,5,Countryside Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Penycae Solar Farm,1,5,SBC Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Guston Court Farm,1,5,Conergy West Sussex,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Jordanston Solar Farm,1,5,AEE Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Widehurst Farm,1,5,Wirsol (formerly Susenco),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kingston Farm,1,5,Shaun Moulton; BOA Property Ltd; and AEE Renewables UK (26) Lt,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
North Tenement,1,5,North Tenement Solar Farm Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Colpmans Farm,1,5,Wirsol Solar UK Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Chelwood Solar Farm,1,5,Mongoose Energy Coop,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Warleigh Barton Solar Farm,1,5,Low Carbon Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Smith Hall Farm Solar Park,1,5,Trina Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kingsland Barton Solar Farm (resubmission),1,5,Padero Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Berthlwyd Farm,1,5,Greencoat Capital,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land West Of Hunger Hill Farm,1,5,Greencoat Capital,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Chapel Farm,1,5,Public Power Solutions/ Swindon Borough Council,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Holly Farm Solar Park,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Highwood Lane,1,5,Solstice Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
The Manor of Cadland Estate,1,5,The Manor of Cadland Estate,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bodden,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Outwood Farm (Phase 1),1,5,MS Power Projects,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Dolmans Hill (Redbridge Farm) Solar Arrays,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Stanton solar park,1,5,Quercus Renewable Holding 2,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Actrees Farm,1,5,Actrees Solar Power/ Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Heathlands,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Popehill Farm,1,5,North Tenement Solar Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Stalbridge Park,1,5,British Solar Renewables / NextEnergy Solar Fund (NESF),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Foxcombe Farm Solar Park,1,5,Mr John Wearmouth Tel: 07956 429942,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Hall Farm Solar Farm (Newbold Verdon),1,5,Push Energy Ltd PEW Milner HA Milner & PE Milner/ NESF,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land off Hooklands Lane,1,5,Conergy UK,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land East of White Horse Lane,1,5,Island Green Power,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kernow Solar Farm,1,5,Cornwall Council Property Services,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bransholme Solar CIC,1,5,Renesola (community owned),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Southbrook Solar Farm,1,5,Sunventures (Suncredit UK),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kinmel 2 CIC,1,5,Haymaker Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Gravel Works Wasing Estate,1,5,NESF (formerly INRG Solar),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Sowerby Lodge Farm,1,5,Gamma Solar Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Rosedew Farm,1,5,INRG,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Higher Tregarne Solar Farm,1,5,John Laing Environmental Assets (formerly sPower & Cambourne Capital),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
St Helen's Lane,1,5,UK Sustainable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Pollington Solar Farm,1,5,Pollington Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cold Harbour,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Nottington Lane Solar Farm,1,5,PS Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Handley Park - resubmission,1,5,Haymaker Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Biglis Farm,1,5,Conergy West Sussex,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Redhall Industrial Estate,1,5,Dodds Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Saxley Farm,1,5,Solar Century/ Bluefield Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Swanland Road,1,5,Gascoyne Holdings,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Green Farm (resubmission),1,5,Hive Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Meadow Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Barugh Farm,1,5,HB and CH Barker,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Stonepit Farm,1,5,Lark Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Salhouse Solar Farm,1,5,Island Green Power,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bidwell Solar Farm - resubmission,1,5,Wessex Solar Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Elton solar farm,1,5,Valfortec,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Ninnis Farm Solar,1,5,The Green Company,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Woodhouse Fields Farm,1,5,Wirsol,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lake Farm,1,5,AEE Renewables UK(3) Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
The Kickles,1,5,Green Energy UK Direct Ltd/ Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Mill Hill Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Burrowton Farm,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Middle Treworder Farm,1,5,Innogy (previously BELECTRIC Solar),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land South of Highfield House,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Green Croft Solar Farm,1,5,Anesco,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Caldecote Manor Farm,1,5,Sustain Energy Solutions,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
West Strathore Solar Limited,1,5,West Strathore Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Pressock Farm,1,5,Green Power Consultants,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Great Seabrook Farm,1,5,Conergy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
The Breck,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Manor Farm (Dorset),1,5,INRG Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Drakelow Solar Farm,1,5,BlackRock,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Potters Bar Solar Farm,1,5,UK Sustainable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Gib Lane Solar farm (Extension),1,5,Haymaker Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Thompson House Equestrian farm,1,5,Emotion Solar One,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Winham Farm - resubmission,1,5,Hive Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lee Farm,1,5,Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Site To North East Of Lochcraigs Farm,1,5,SBC Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bury Green Farm Solar,1,5,Bury Green Farm Solar (Caledon Partners),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Wickfield Farm,1,5,NESF (formerly A C Crocker Properties Ltd),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Wreay,1,5,Anesco,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Tump Solar Farm,1,5,Green Energy UK Direct,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Frying Down Copse Solar Farm,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Upper Wick Solar Farm,1,5,Upper Wick Solar Farm,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Rotherdale Farm,1,5,Vale Green Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Frog's Loke Solar Farm,1,5,Frogs Loke Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land Parcel North of Goddards,1,5,INRG Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Dunore,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Andover Solar Farm,1,5,The Clark Trustees,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Caddington Solar Farm (Phase 2),1,5,Emsrayne Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bratton Fleming Solar Farm,1,5,Wessex Solar Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Owls Lodge Farm Extension,1,5,Anesco,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Balhearty Solar,1,5,Lark Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Nanthenfoel Farms,1,5,Anesco,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Ebbsfleet Solar Farm,1,5,Thanet Solar Ltd/ Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Shacks Barn Solar Farm,1,5,Moser Baer,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Granville Road Solar Farm,1,5,Solstice Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Walland Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bumpers Farm Phase 1,1,5,Solar Planning,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kingspan Insulation Solar Installation,1,5,Kingspan Insulation/ Eneco,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Pant-Y-Moch Farm,1,5,Canadian Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Eaglescliffe Solar Farm,1,5,UK Sustainable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Galton Manor Solar Park,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Park Wall Solar Park,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Turves Solar Farm (Resubmission),1,5,Abbey Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Langage Solar Farm,1,5,Terrence O'Rourke Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Stoneshill Farm (resubmission),1,5,Green Energy UK Direct,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Airfield Farm PV,1,5,P V Farms 01,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lains Farm,1,5,INRG,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land south of Brick Kiln Road,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Barvills Solar Farm (resubmission),1,5,BE Renewables/Barvills Solar Limited,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Southern Counties Shooting Ground Phase 2 (resubmission),1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Woodhouse Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Cwm Bargoed,1,5,Kronos Solar/ Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bilsthorpe (Land off Forest Lane),1,5,NESF (formerly Lark Energy),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Pylle Southern solar park (Lower Easton Farm),1,5,Pylle Solar/ John Laing,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Oldstone Farm,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cobbs Cross Solar Park,1,5,PS Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Thorne Colliery,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Forest Heath Solar Farm,1,5,Munich RE,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cwm Derwyn Farm,1,5,Kronos Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Middle Balbeggie,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Salford Lodge,1,5,AR Partners,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
West Venn Solar Farm (resubmission),1,5,Solar Securities Group Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land North of Chiltern Greeen,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Wilbees Farm (resubmission),1,5,Hive Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Creswell Solar Park (resubmission),1,5,Sovereign Energy Partners,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Ash Row Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Ring O Bells Farm,1,5,GEUK Direct LTD - Daniel Corcoran - daniel@geukdirect.com,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cherry Tree Farm,1,5,Trina Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Carlam Hill Education CIC,1,5,Renesola to Greencoat (formerly Renesola),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Easingwold,1,5,,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Kinmel 1 CIC,1,5,Haymaker Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Ebnal Lodge (resubmission),1,5,Greencoat Capital,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Shortheath Solar Park,1,5,Trina Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lawrence End Park,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land Off Folly Lane,1,5,Solar Century/ Bluefield Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Malmesbury Solar,1,5,Sunstroom Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lower Marsh Farm,1,5,Solar Power South,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Tangmere Airfield,1,5,West Sussex County Council,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Pensipple Farm,1,5,Elgin Energy EsCo,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Debdale Lane,1,5,Equitix Fund IV,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Port of Barry (Resubmission) - Site 2,1,5,Associated British Ports (ABP),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bourne Park (Solar),1,5,Sovereign Energy Partners LLP - Charles Houston -,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Mamhilad Solar Farm,1,5,Active Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land off Moss Side Lane (resubmission),1,5,WEL Solar Park 11,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Tonedale Farm,1,5,Capital Estate Tonedale,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Moorhouse Farm,1,5,Solar Park Developments,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Hewas Solar Farm,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Marshborough Farm solar park (resubmission),1,5,Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Rushmoor Lane Farm (Cheshire Coppice),1,5,Sunsave 38/ Vogt Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land North of the Wood at Averill Farm,1,5,Stretton Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Rampisham North,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Peterlee Solar Farm,1,5,Zaravolt Development,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Clapton Farm Solar Park,1,5,British Solar Renewables,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Solar Farm at Fields Farm (Phase 1),1,5,Foresight Group (TGC Renewables),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Bunn's Hill Solar Park,1,5,Solar Century/ Bluefield Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land At Chiddinglye Farm,1,5,REPOWER Balcombe & Chiddinglye Solar Park,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Baglan Bay Solar Farm - Phase 1,1,5,St. Modwen Developments,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Lower Bodiniel Farm,1,5,Wardell Armstrong International Ltd,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Land at Biggin Lane,1,5,Ramsey Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Polmaugan Farm,1,5,Munich RE,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Sheriffhales,1,5,Lightsource Renewable Energy,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Haigh Hall Solar Farm (Resubmission),1,5,Athos Solar,7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
Cantelupe Solar Farm,1,5,Innogy (previously - Belectric (previously Alectron Investments Ltd)),7.5,7577.854671,1.515764384,0.189446367,1.326318017,5.654752406,18.14369456,241.9159275,5.676637101
